Country Name,Population,Unemployment (%),"School Enrollment, tertiary (%)"
Argentina,45376763,11.46,99.17
Austria,8916864,5.36,87.21
Australia,25655289,6.46,114.19
Belgium,11538604,5.55,80.89
Brazil,213196304,13.69,54.57
Bulgaria,6934015,5.12,75.41
China,1411100000,5.00,58.42
Chile,19300315,11.18,91.67
Canada,38037204,9.46,79.52
Croatia,4047680,7.51,68.10
Cyprus,1237537,7.59,92.94
Denmark,5831404,5.64,82.84
Ecuador,17588595,6.11,52.59
Finland,5529543,7.76,95.05
France,67571107,8.01,69.35
Germany,83160871,3.81,72.99
Greece,10698599,16.30,150.88
Ghana,32180401,4.65,18.69
Georgia,3722716,18.50,66.69
Hungary,9750149,4.25,55.16
Iceland,366463,5.48,84.27
India,1396387127,8.00,29.44
Ireland,4985382,5.62,74.68
Italy,59438851,9.16,69.47
Mexico,125998302,4.45,44.81
Malta,515332,4.26,71.50
Morocco,36688772,11.45,40.62
Nepal,29348627,4.72,14.22
Netherlands,17441500,3.82,92.01
New Zealand,5090200,4.59,79.91
Norway,5379475,4.42,84.44
Philippines,112190977,2.52,33.37
Poland,37899070,3.16,70.48
Portugal,10297081,6.79,70.38
Romania,19265250,5.03,53.23
Saudi Arabia,35997107,7.45,70.63
Serbia,6899126,9.01,68.14
Singapore,5685807,4.10,93.13
South Africa,58801927,29.22,24.24
Spain,47365655,15.53,95.96
Sweden,10353442,8.29,84.52
Switzerland,8638167,4.82,65.33
United States,331501080,8.05,87.57
United Kingdom,67081000,4.47,69.48
United Arab Emirates,9287289,3.19,53.72
