PCON11NM,Population
Ynys Môn,70440
Delyn,70439
Alyn and Deeside,86408
Wrexham,71392
Llanelli,84059
Gower,79633
Swansea West,82586
Swansea East,84344
Aberavon,69364
Cardiff Central,93977
Cardiff North,91562
Rhondda,69506
Torfaen,84978
Monmouth,87069
Newport East,83480
Newport West,90916
Arfon,63335
Aberconwy,59520
Clwyd West,74319
Vale of Clwyd,73285
Dwyfor Meirionnydd,61836
Clwyd South,72387
Montgomeryshire,63696
Ceredigion,72895
Preseli Pembrokeshire,80299
Carmarthen West and South Pembrokeshire,78744
Carmarthen East and Dinefwr,73722
Brecon and Radnorshire,69334
Neath,75022
Cynon Valley,71658
Merthyr Tydfil and Rhymney,76652
Blaenau Gwent,70020
Bridgend,86121
Ogmore,79058
Pontypridd,83069
Caerphilly,88586
Islwyn,76917
Vale of Glamorgan,105094
Cardiff West,94951
Cardiff South and Penarth,118913
